'Lat','Long',
3956.3505,11623.9395,236
3956.3504,11623.9394,236
3956.3503,11623.9395,235
3956.3502,11623.9395,235
3956.3502,11623.9395,235
3956.3505,11623.9395,235
3956.3507,11623.9394,234
3956.3505,11623.9391,234
3956.3498,11623.9389,234
3956.3494,11623.9386,234
3956.3492,11623.9383,234
3956.3489,11623.9383,233
3956.3486,11623.9384,233
3956.3484,11623.9386,233
3956.3485,11623.9386,233
3956.3485,11623.9385,233
3956.3481,11623.9387,232
3956.3481,11623.939,232
3956.3484,11623.9392,232
3956.3478,11623.9394,232
3956.3472,11623.9395,232
3956.3473,11623.9395,231
3956.3472,11623.9397,231
3956.3467,11623.9395,230
3956.3459,11623.9393,230
3956.3451,11623.9389,229
3956.3444,11623.9386,229
3956.3436,11623.9385,229
3956.3428,11623.9386,229
3956.3423,11623.9388,228
3956.3415,11623.9387,228
3956.3408,11623.9384,227
3956.3399,11623.938,227
3956.3391,11623.9376,227
3956.3381,11623.9373,227
3956.3369,11623.9371,227
3956.336,11623.9372,226
3956.3349,11623.9372,226
3956.3339,11623.9369,227
3956.3333,11623.9368,227
3956.3323,11623.9367,227
3956.3313,11623.9362,227
3956.3306,11623.9364,228
